name,height,weight,hair_color,skin_color,eye_color,age,gender,homeworld,species
Poggle the Lesser,183,80,none,green,yellow,NA,masculine,Geonosis,Geonosian
Luminara Unduli,170,56.2,black,yellow,blue,58,feminine,Mirial,Mirialan
Barriss Offee,166,50,black,yellow,blue,40,feminine,Mirial,Mirialan
Dorm̩,165,NA,brown,light,brown,NA,feminine,Naboo,Human
Dooku,193,80,white,fair,brown,102,masculine,Serenno,Human
Bail Prestor Organa,191,NA,black,tan,brown,67,masculine,Alderaan,Human
Jango Fett,183,79,black,tan,brown,66,masculine,Concord Dawn,Human
Zam Wesell,168,55,blonde,"fair, green, yellow",yellow,NA,feminine,Zolan,Clawdite
Dexter Jettster,198,102,none,brown,yellow,NA,masculine,Ojom,Besalisk
Lama Su,229,88,none,grey,black,NA,masculine,Kamino,Kaminoan
Taun We,213,NA,none,grey,black,NA,feminine,Kamino,Kaminoan
Jocasta Nu,167,NA,white,fair,blue,NA,feminine,Coruscant,Human
Ratts Tyerell,79,15,none,"grey, blue",unknown,NA,masculine,Aleen Minor,Aleena
R4-P17,96,NA,none,"silver, red","red, blue",NA,feminine,NA,Droid
Wat Tambor,193,48,none,"green, grey",unknown,NA,masculine,Skako,Skakoan
San Hill,191,NA,none,grey,gold,NA,masculine,Muunilinst,Muun
Shaak Ti,178,57,none,"red, blue, white",black,NA,feminine,Shili,Togruta
Grievous,216,159,none,"brown, white","green, yellow",NA,masculine,Kalee,Kaleesh
Tarfful,234,136,brown,brown,blue,NA,masculine,Kashyyyk,Wookiee
Raymus Antilles,188,79,brown,light,brown,NA,masculine,Alderaan,Human
Sly Moore,178,48,none,pale,white,NA,NA,Umbara,NA
Tion Medon,206,80,none,grey,black,NA,masculine,Utapau,Pau'an
Finn,NA,NA,black,dark,dark,NA,masculine,NA,Human
Rey,NA,NA,brown,light,hazel,NA,feminine,NA,Human
Poe Dameron,NA,NA,brown,light,brown,NA,masculine,NA,Human
BB8,NA,NA,none,none,black,NA,masculine,NA,Droid
Captain Phasma,NA,NA,unknown,unknown,unknown,NA,NA,NA,NA
Padm̩ Amidala,165,45,brown,light,brown,46,feminine,Naboo,Human
